Date,Adj Close,Close,High,Low,Open,Volume
2018-07-23,6.175504208,6.235249996,6.24725008,6.081999779,6.245500088,301584000
2017-05-26,3.502153397,3.546000004,3.631999969,3.427750111,3.448250055,779140000
2024-10-25,141.5302429,141.5399933,144.1300049,140.8000031,140.9299927,205122100
2020-10-12,14.18579483,14.22599983,14.34700012,13.91250038,13.98950005,434744000
2023-09-06,47.0435257,47.06100082,48.54899979,46.58000183,48.44100189,468670000
2016-11-17,2.272515059,2.30975008,2.369750023,2.266249895,2.307749987,832988000
2024-02-23,78.79466248,78.81700134,82.39399719,77.56999969,80.79000092,829388000
2017-11-30,4.963514328,5.017749786,5.066999912,4.916250229,4.980000019,823768000
2024-04-26,87.71424866,87.73500061,88.33100128,83.38700104,83.81800079,551011000
2022-01-31,24.44534492,24.48600006,24.50900078,23.05200005,23.18199921,564680000
2017-12-06,4.68035984,4.731500149,4.753499985,4.620999813,4.642499924,467032000
2022-08-31,15.07469177,15.09399986,15.53999996,14.95899963,15.38399982,573710000
2016-07-25,1.367041111,1.39199996,1.395249963,1.368999958,1.375,312528000
2016-01-25,0.693426728,0.710500002,0.719250023,0.708999991,0.711000025,270728000
2017-10-31,5.110814571,5.170249939,5.197249889,5.122499943,5.128250122,411908000
2017-11-07,5.239813328,5.300749779,5.322500229,5.25150013,5.263750076,427700000
2023-09-18,43.94967651,43.9659996,44.24200058,42.0,42.7480011,500271000
2020-03-05,6.807796478,6.832250118,7.079999924,6.787499905,6.912499905,540328000
2022-06-06,18.75800323,18.7859993,19.33699989,18.56399918,19.13899994,422406000
2016-06-15,1.162770033,1.184000015,1.194249988,1.168750048,1.181750059,301036000
2018-10-29,4.598548889,4.640500069,5.103250027,4.400249958,5.099750042,758016000
2019-08-08,3.933184147,3.956500053,3.957750082,3.847500086,3.905250072,309300000
2019-11-01,5.039886951,5.064750195,5.097249985,4.964749813,4.989999771,283640000
2025-02-14,138.8500061,138.8500061,139.25,135.5,136.4799957,194892300
2020-05-08,7.784537315,7.8125,7.818749905,7.659749985,7.693749905,339216000
2016-08-01,1.39282012,1.418249965,1.438750029,1.409000039,1.433500051,301120000
2024-06-14,131.8596344,131.8800049,132.8399963,128.3200073,129.9600067,309320400
2021-11-10,29.4064846,29.45899963,30.85000038,28.77799988,29.3560009,636206000
2022-07-27,17.76724625,17.79000092,17.93600082,16.91300011,17.03199959,569776000
2019-09-24,4.292076111,4.313250065,4.432250023,4.277500153,4.402500153,317268000
2016-06-23,1.190513492,1.212249994,1.213500023,1.191249967,1.192000031,297880000
2016-08-23,1.547396064,1.572749972,1.582999945,1.568249941,1.575999975,339764000
2021-02-26,13.67978191,13.71450043,13.85449982,13.36100006,13.75249958,500932000
2016-08-25,1.513452053,1.538249969,1.54974997,1.519000053,1.549000025,406032000
2019-11-27,5.433221817,5.455999851,5.50124979,5.429500103,5.466750145,215784000
2020-04-16,7.34113121,7.367499828,7.474999905,7.163750172,7.177000046,745620000
2023-12-18,50.06280136,50.07699966,50.43299866,49.15000153,49.40000153,412587000
2021-09-03,22.80228233,22.84300041,22.98600006,22.20000076,22.32500076,280532000
2023-08-31,49.33261108,49.35499954,49.74399948,48.95800018,49.38000107,528570000
2024-02-27,78.67868805,78.7009964,79.48000336,77.16200256,79.3809967,391705000
2021-07-16,18.12542725,18.1609993,19.15699959,18.07299995,19.03050041,688224000
2024-03-21,91.41336823,91.43499756,92.64800262,90.40499878,92.30000305,480372000
2017-10-23,4.858993053,4.915500164,4.971250057,4.894999981,4.944499969,428696000
2022-12-30,14.60337925,14.61400032,14.62899971,14.2329998,14.33399963,310490000
2023-04-26,26.94098091,26.95599937,27.32999992,26.70499992,27.00200081,406337000
2019-12-20,5.959267139,5.984250069,6.009749889,5.934000015,5.953249931,603044000
2016-07-20,1.331195354,1.355499983,1.362750053,1.337000012,1.342499971,296460000
2022-10-24,12.58662319,12.59899998,12.71000004,12.06400013,12.50800037,517457000
2016-12-02,2.178859949,2.211250067,2.220000029,2.128000021,2.15625,478292000
2024-05-24,106.4438095,106.4690018,106.4749985,103.0,104.4489975,429494000
2020-02-03,5.983167648,6.008250237,6.027750015,5.886250019,5.892499924,255564000
2019-12-12,5.578363895,5.601749897,5.619999886,5.395500183,5.404500008,404348000
2025-01-22,147.0700073,147.0700073,147.7899933,143.6699982,144.6600037,237651400
2023-08-09,42.53469467,42.55400085,44.31200027,42.13399887,44.27399826,586449000
2022-10-12,11.48870277,11.5,11.73499966,11.34500027,11.57900047,492590000
2019-03-15,4.215421677,4.245250225,4.288249969,4.178999901,4.182499886,661484000
2017-01-26,2.701096535,2.741250038,2.748749971,2.667500019,2.69749999,458800000
2016-01-15,0.661463618,0.677749991,0.696250021,0.666000009,0.688000023,841452000
2024-04-02,89.43083954,89.45200348,90.09400177,87.62000275,88.44799805,433064000
2018-11-07,5.296432018,5.344749928,5.435249805,5.279500008,5.34375,483812000
2021-06-30,19.9633255,20.00250053,20.16250038,19.86375046,19.99925041,326568000
2018-02-07,5.658174038,5.71999979,5.874249935,5.667500019,5.739500046,802932000
2016-05-09,0.86394161,0.882000029,0.88924998,0.874750018,0.885500014,333336000
2017-04-04,2.485728741,2.519500017,2.610500097,2.508500099,2.585000038,1271280000
2023-10-10,45.78099442,45.79800034,46.25899887,45.08800125,45.31000137,368582000
2016-08-30,1.515911818,1.540750027,1.555999994,1.536499977,1.547749996,285544000
2024-06-06,120.9693832,120.9980011,125.586998,118.3199997,124.0479965,664696000
2017-12-28,4.881659508,4.934999943,4.984499931,4.928750038,4.953249931,240248000
2023-02-22,20.73891449,20.75399971,21.10400009,20.42099953,20.70700073,513184000
2018-10-23,5.476539135,5.526500225,5.604750156,5.417749882,5.510749817,626436000
2018-08-06,6.289896488,6.350749969,6.354249954,6.242750168,6.289750099,207508000
2017-12-11,4.813898087,4.866499901,4.86950016,4.78550005,4.801499844,372748000
2018-07-11,6.128954411,6.188250065,6.272500038,6.177499771,6.237500191,367508000
2018-01-09,5.488528252,5.548500061,5.595499992,5.46600008,5.555500031,497000000
2023-02-03,21.0846653,21.10000038,21.74500084,20.78899956,21.0,429366000
2024-07-10,134.8891754,134.9100037,135.1000061,132.4199982,134.0299988,248978600
2017-12-22,4.82898283,4.881750107,4.891250134,4.78125,4.860000134,466276000
2021-11-17,29.20883942,29.26099968,30.50900078,28.79999924,30.41799927,428508000
2022-04-14,21.22631836,21.25799942,22.77700043,21.16300011,22.50499916,569097000
2020-10-01,13.5760231,13.61450005,13.76274967,13.46074963,13.75800037,525004000
2023-12-20,48.09736252,48.11100006,49.99900055,48.09799957,49.65499878,397894000
2024-07-24,114.2323532,114.25,119.9499969,113.4400024,119.1699982,327776900
2023-06-30,42.2828064,42.30199814,42.54999924,41.50099945,41.68000031,501148000
2019-02-20,3.931846142,3.963749886,4.031499863,3.934250116,3.945499897,540988000
2019-10-11,4.626925468,4.649750233,4.733500004,4.641250134,4.660250187,446404000
2023-01-24,19.25099754,19.26499939,19.49500084,18.81999969,18.82699966,496204000
2022-02-07,24.68694687,24.72800064,25.18199921,24.20199966,24.37199974,376868000
2022-07-01,14.50442123,14.52299976,15.06299973,14.3920002,14.89900017,577610000
2017-01-23,2.58876586,2.627249956,2.647500038,2.592499971,2.595000029,369904000
2023-07-19,47.05564499,47.07699966,47.81800079,46.74200058,47.4640007,427502000
2017-12-19,4.849757195,4.902750015,4.943250179,4.874000072,4.938000202,373100000
2020-07-07,9.840907097,9.871749878,10.06999969,9.850749969,9.946249962,357800000
2019-05-28,3.558073282,3.583250046,3.679500103,3.581249952,3.646500111,428356000
2022-06-24,17.10409355,17.12599945,17.13999939,16.30999947,16.5,472153000
2016-08-09,1.445851803,1.472249985,1.486500025,1.468500018,1.475749969,372344000
2024-05-16,94.33667755,94.35900116,95.81900024,94.10299683,94.91000366,323952000
2016-08-26,1.525750637,1.550750017,1.559499979,1.529999971,1.542250037,300024000
2017-08-29,4.070167065,4.117499828,4.139500141,4.056499958,4.064750195,324096000
2017-08-03,4.110536098,4.162000179,4.165750027,4.092000008,4.109250069,442420000
2018-04-26,5.573101521,5.63049984,5.638750076,5.513249874,5.579999924,375824000
2021-09-09,22.13746643,22.17700005,22.53800011,22.13100052,22.31200027,196856000
2021-09-07,22.62160492,22.66200066,22.89900017,22.52199936,22.83300018,198107000
2019-06-21,3.771642208,3.79399991,3.887000084,3.787499905,3.837500095,434428000
2016-12-06,2.300551414,2.334749937,2.343250036,2.289249897,2.305249929,498796000
2017-05-16,3.374403715,3.420249939,3.436000109,3.334000111,3.409499884,1120700000
2017-07-20,4.135720253,4.1875,4.187749863,4.097750187,4.148250103,699596000
2024-04-17,84.01512146,84.03500366,88.77500153,83.94999695,88.33999634,495400000
2018-12-28,3.314357281,3.341249943,3.43475008,3.257750034,3.299999952,628728000
2017-04-18,2.448977709,2.482249975,2.488500118,2.440000057,2.466249943,370116000
2018-07-18,6.232204437,6.292500019,6.348750114,6.241000175,6.334750175,277640000
2021-08-10,19.8969574,19.93600082,20.43000031,19.83499908,20.3220005,179238000
2024-08-06,104.2338943,104.25,107.7099991,100.5500031,103.8399963,409012100
2019-03-20,4.329364777,4.360000134,4.475749969,4.324999809,4.421999931,719148000
2024-05-29,114.7978363,114.8249969,115.4919968,110.901001,113.0500031,557442000
2022-03-02,24.18390274,24.21999931,24.4090004,23.41500092,23.75600052,389642000
2022-11-14,16.27898979,16.29500008,16.54000092,15.92199993,16.21800041,527852000
2025-01-17,137.7100067,137.7100067,138.5,135.4600067,136.6900024,201188800
2017-06-01,3.564373732,3.608999968,3.625750065,3.562999964,3.624749899,503340000
2020-10-30,12.49857807,12.5340004,12.9364996,12.30000019,12.85000038,416820000
2017-04-28,2.572547674,2.607500076,2.641000032,2.601749897,2.634000063,348248000
2023-11-27,48.22408295,48.24200058,48.52999878,47.65200043,47.79999924,395662000
2016-11-22,2.303506851,2.341249943,2.343499899,2.309499979,2.332499981,330368000
2019-05-07,4.29734087,4.327750206,4.447500229,4.279250145,4.447500229,555220000
2025-01-06,149.4299927,149.4299927,152.1600037,147.8200073,148.5899963,265377400
2017-06-23,3.798196793,3.845750093,3.98300004,3.830499887,3.967000008,1088588000
2024-01-26,61.01370239,61.03099823,61.78300095,60.57300186,60.95999908,390309000
2016-05-05,0.856350362,0.874249995,0.884500027,0.867749989,0.876250029,246884000
2021-11-08,30.74908829,30.80400085,31.10000038,29.90699959,30.14900017,503101000
2022-09-16,13.1850338,13.19799995,13.21199989,12.61699963,12.74199963,670751000
2022-11-01,13.5296936,13.54300022,13.92500019,13.51900005,13.81099987,432817000
2017-10-17,4.886919022,4.943749905,4.972499847,4.908750057,4.927249908,478596000
2017-01-06,2.539745331,2.577500105,2.606250048,2.529999971,2.571249962,822856000
2023-09-21,41.0017662,41.01699829,42.09999847,40.97999954,41.58300018,450736000
2018-02-09,5.7392869,5.802000046,5.972249985,5.438000202,5.956250191,1674604000
2017-12-12,4.719430447,4.770999908,4.846000195,4.74725008,4.822500229,455016000
2020-09-11,12.13012028,12.16450024,12.65250015,11.89575005,12.48550034,636928000
2016-02-26,0.772968352,0.791999996,0.802999973,0.783999979,0.800999999,361964000
2023-06-27,41.85700226,41.87599945,41.93999863,40.44800186,40.79899979,462175000
2023-12-29,49.50796509,49.52199936,49.99700165,48.75099945,49.81299973,389293000
2019-04-11,4.754852772,4.788499832,4.836750031,4.738749981,4.804999828,374600000
2021-01-25,13.61868668,13.65324974,13.82849979,13.23649979,13.78174973,251112000
2020-04-13,6.722103596,6.746250153,6.755000114,6.425000191,6.513750076,398408000
2019-10-28,5.144371986,5.169750214,5.222499847,5.127999783,5.15749979,330792000
2024-10-22,143.5801086,143.5899963,144.4199982,141.7799988,142.9100037,226311600
2018-04-05,5.478081703,5.534500122,5.728250027,5.462250233,5.715000153,701240000
2020-02-11,6.669290543,6.697249889,6.8125,6.62074995,6.683000088,638556000
2023-04-10,27.56363487,27.57900047,27.62100029,26.66900063,26.82299995,395279000
2016-04-27,0.91365248,0.932749987,0.93325001,0.907999992,0.909749985,352396000
2017-12-01,4.88858223,4.941999912,5.003250122,4.811749935,4.982749939,811548000
2017-05-17,3.15019989,3.193000078,3.371500015,3.188750029,3.352499962,1271368000
2024-09-06,102.8141174,102.8300018,108.1500015,100.9499969,108.0400009,413638100
2017-03-20,2.699571848,2.736249924,2.740250111,2.653249979,2.669500113,748568000
2016-12-20,2.590736866,2.62925005,2.653249979,2.602999926,2.614500046,848056000
2022-09-01,13.91917229,13.93700027,14.38000011,13.27000046,14.20899963,1178865000
2016-08-29,1.524766803,1.54974997,1.563249946,1.547250032,1.557000041,274652000
2019-02-05,3.718576908,3.748749971,3.785749912,3.707499981,3.741499901,542424000
2019-03-28,4.400114059,4.431250095,4.497499943,4.37774992,4.43874979,480264000
2016-03-09,0.777008832,0.793250024,0.801999986,0.782999992,0.800750017,222788000
2016-12-09,2.261875868,2.29550004,2.356750011,2.267750025,2.355000019,382312000
2020-05-06,7.418104172,7.444749832,7.550000191,7.385250092,7.423250198,323464000
2016-06-20,1.16768074,1.18900001,1.204249978,1.18599999,1.186750054,293768000
2019-06-26,3.958036423,3.98149991,4.043000221,3.902250051,3.915250063,584072000
2022-07-18,16.08040237,16.10099983,16.89699936,16.00200081,16.30200005,670517000
2024-10-24,140.4003296,140.4100037,141.3500061,138.4600067,140.8200073,172354900
2019-09-30,4.330387115,4.351749897,4.361999989,4.288499832,4.320000172,186184000
2023-06-09,38.75241089,38.77000046,39.71099854,38.56700134,39.03699875,427717000
2022-02-10,25.78111839,25.8239994,26.92499924,25.60000038,25.99500084,513200000
2023-05-30,40.08865356,40.11100006,41.93799973,39.94900131,40.59500122,923401000
2020-11-17,13.3843174,13.42224979,13.59624958,13.30375004,13.55249977,312028000
2022-08-05,18.96471214,18.98900032,19.22900009,18.66600037,18.80999947,386068000
2021-11-09,30.60235405,30.65699959,32.31000137,29.9640007,32.2820015,646746000
2024-03-04,85.21283722,85.23699951,87.69499969,83.71900177,84.12999725,615616000
2017-09-06,4.097598553,4.145249844,4.195000172,4.110000134,4.181000233,397672000
2022-05-13,17.67961121,17.70599937,17.9279995,16.59300041,16.78800011,670437000
2024-03-27,90.22865295,90.25,93.23999786,89.1230011,93.11199951,586067000
2021-09-08,22.29917908,22.3390007,22.61000061,21.97699928,22.51300049,254434000
2020-05-11,8.036632538,8.065500259,8.112500191,7.778749943,7.807499886,469060000
2022-08-25,17.89008522,17.91300011,17.9470005,16.83300018,16.84399986,770691000
2024-11-22,141.9402161,141.9499969,147.1600037,141.1000061,145.9299927,236406200
2021-01-27,12.88504887,12.91775036,13.23274994,12.79374981,13.22999954,371272000
2019-04-17,4.649350643,4.682250023,4.761499882,4.659749985,4.740499973,351004000
2019-04-24,4.745668888,4.779250145,4.820250034,4.71600008,4.777249813,318204000
2017-02-08,2.921815634,2.965250015,2.982749939,2.909499884,2.960000038,449580000
2021-11-16,30.14915657,30.20299911,30.38999939,29.70599937,29.75900078,264484000
2020-02-21,7.32105732,7.351749897,7.630000114,7.266499996,7.604750156,768180000
2021-03-05,12.42995358,12.46150017,12.55000019,11.67924976,12.55000019,542840000
2017-11-21,5.339160919,5.401249886,5.413000107,5.360000134,5.392250061,399176000
2022-09-29,12.20799446,12.22000027,12.5,11.9460001,12.44799995,532763000
